epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,441.693,0.38875,0.98415,0.88935,0.92389,0.94913,0.97298,0.93698,0.28864,0.69578,0.87521,0.000255245,0.000255245,0.000255245
100,445.884,0.41319,1.07541,0.91569,0.94094,0.91742,0.96868,0.93265,0.27126,0.79943,0.87078,0.000252748,0.000252748,0.000252748
101,450.206,0.41548,0.9958,0.90962,0.95438,0.91903,0.97687,0.9417,0.25871,0.67677,0.86401,0.00025025,0.00025025,0.00025025
102,454.408,0.39522,1.00289,0.91101,0.9479,0.97534,0.98001,0.94675,0.2732,0.58338,0.8683,0.000247753,0.000247753,0.000247753
103,458.775,0.37874,1.00829,0.8913,0.94704,0.97058,0.97779,0.943,0.26448,0.57429,0.86638,0.000245255,0.000245255,0.000245255
104,463.283,0.40371,1.04649,0.90525,0.91311,0.9422,0.95205,0.90839,0.28015,0.67838,0.86975,0.000242758,0.000242758,0.000242758
105,467.555,0.40043,1.00919,0.91415,0.75142,0.89062,0.92924,0.88194,0.28963,1.03529,0.87186,0.00024026,0.00024026,0.00024026
106,471.973,0.38213,1.04453,0.90299,0.90599,0.89767,0.95018,0.91176,0.26663,0.71379,0.86358,0.000237762,0.000237762,0.000237762
107,476.076,0.38481,0.91603,0.88097,0.94455,0.94748,0.96458,0.92383,0.2794,0.64947,0.87151,0.000235265,0.000235265,0.000235265
108,480.596,0.37171,1.01759,0.90235,0.9376,0.86743,0.96378,0.92641,0.26291,0.80119,0.86762,0.000232767,0.000232767,0.000232767
109,484.91,0.39315,1.02848,0.8974,0.96409,0.88335,0.97477,0.93822,0.26454,0.6462,0.86454,0.00023027,0.00023027,0.00023027
110,489.145,0.38529,0.88717,0.88203,0.95749,0.96457,0.9935,0.95623,0.27002,0.50388,0.86601,0.000227772,0.000227772,0.000227772
111,493.366,0.38748,0.9366,0.8849,0.9439,1,0.995,0.95998,0.26821,0.51382,0.86827,0.000225275,0.000225275,0.000225275
112,497.683,0.37055,0.94857,0.90408,0.98465,0.96211,0.99313,0.96178,0.27061,0.47669,0.86867,0.000222777,0.000222777,0.000222777
113,502.235,0.39942,0.98373,0.89098,0.96754,0.95133,0.9879,0.94744,0.29209,0.53456,0.87517,0.00022028,0.00022028,0.00022028
114,506.502,0.39814,0.99862,0.90032,0.96144,0.96364,0.98417,0.94139,0.27585,0.59861,0.87208,0.000217783,0.000217783,0.000217783
115,510.838,0.39103,1.02526,0.88456,0.96183,0.94187,0.98642,0.95774,0.25689,0.59185,0.86715,0.000215285,0.000215285,0.000215285
116,515.099,0.39464,1.16894,0.89275,0.96727,0.94024,0.97925,0.94242,0.25871,0.59291,0.86142,0.000212788,0.000212788,0.000212788
117,519.422,0.36234,0.87233,0.87473,0.97132,0.97406,0.9869,0.94171,0.28055,0.49429,0.8653,0.00021029,0.00021029,0.00021029
118,524.182,0.4241,1.01356,0.91903,0.96631,0.97039,0.98561,0.94873,0.27001,0.54746,0.86412,0.000207793,0.000207793,0.000207793
119,528.363,0.40374,1.0087,0.90952,0.97877,0.95257,0.988,0.94992,0.2679,0.54173,0.86581,0.000205295,0.000205295,0.000205295
120,532.765,0.35284,0.86018,0.89461,0.92568,0.95344,0.98307,0.93422,0.29693,0.64342,0.88386,0.000202798,0.000202798,0.000202798
121,536.865,0.41373,0.98929,0.91335,0.9582,0.96177,0.98895,0.93919,0.29543,0.52084,0.87904,0.0002003,0.0002003,0.0002003
122,541.418,0.37772,0.94619,0.89055,0.95245,0.93286,0.98406,0.94749,0.2768,0.51816,0.87258,0.000197803,0.000197803,0.000197803
123,545.649,0.39969,0.97768,0.90587,0.95766,0.90826,0.97715,0.94105,0.26962,0.55907,0.86734,0.000195305,0.000195305,0.000195305
124,549.872,0.38437,0.92301,0.89684,0.93073,0.94545,0.97114,0.93354,0.28884,0.6095,0.87445,0.000192808,0.000192808,0.000192808
125,554.072,0.37365,0.88183,0.89391,0.97096,0.93152,0.97012,0.92564,0.27008,0.62032,0.87169,0.00019031,0.00019031,0.00019031
126,558.296,0.38751,0.89246,0.90922,0.96325,0.93679,0.98251,0.94665,0.25818,0.53605,0.86897,0.000187812,0.000187812,0.000187812
127,562.56,0.36541,0.89413,0.88652,0.97581,0.95672,0.98636,0.95259,0.26529,0.48203,0.86581,0.000185315,0.000185315,0.000185315
128,566.921,0.37651,0.95747,0.89394,0.97318,0.97468,0.98261,0.94472,0.25968,0.48735,0.86015,0.000182818,0.000182818,0.000182818
129,571.31,0.36998,0.87706,0.8902,0.9656,0.96097,0.97449,0.93536,0.25159,0.54715,0.85808,0.00018032,0.00018032,0.00018032
130,575.476,0.36847,0.92938,0.87105,0.95556,0.96364,0.96785,0.93225,0.25072,0.62914,0.85745,0.000177822,0.000177822,0.000177822
131,579.892,0.36602,0.79945,0.87497,0.96012,0.95298,0.96698,0.93219,0.26233,0.56623,0.85882,0.000175325,0.000175325,0.000175325
132,584.344,0.39826,0.88919,0.90176,0.9775,0.98182,0.97676,0.9468,0.26138,0.52428,0.85743,0.000172827,0.000172827,0.000172827
133,588.534,0.36413,0.98379,0.88363,0.95625,0.97414,0.97933,0.94083,0.26405,0.5058,0.8572,0.00017033,0.00017033,0.00017033
134,592.936,0.37974,0.87666,0.88821,0.97552,0.97543,0.98895,0.95166,0.26675,0.45255,0.85902,0.000167833,0.000167833,0.000167833
135,597.021,0.3528,0.83378,0.86232,0.96987,0.97763,0.99009,0.95357,0.2603,0.43676,0.85861,0.000165335,0.000165335,0.000165335
136,601.475,0.38566,0.83607,0.88982,0.95935,0.9626,0.98241,0.94237,0.25619,0.51424,0.85883,0.000162837,0.000162837,0.000162837
137,605.863,0.37118,0.90814,0.88651,0.95328,0.93007,0.9774,0.9397,0.28464,0.62678,0.86767,0.00016034,0.00016034,0.00016034
138,610.271,0.36013,0.83674,0.87224,0.97661,0.95143,0.97735,0.94251,0.27164,0.55707,0.86331,0.000157842,0.000157842,0.000157842
139,614.543,0.34765,0.77514,0.87444,0.9761,0.97794,0.97993,0.94843,0.25587,0.47459,0.86086,0.000155345,0.000155345,0.000155345
